Date,Open,High,Low,Close,Adj Close,Volume
2015-10-19,3.182140,3.182140,3.142860,3.142860,1.377481,8400
2015-10-20,3.135000,3.190000,3.135000,3.182140,1.394697,19982
2015-10-21,3.103570,3.182140,3.103570,3.182140,1.394697,3182
2015-10-22,3.213570,3.252860,3.182140,3.245000,1.422248,5218
2015-10-23,3.245000,3.292140,3.205710,3.260710,1.429134,25327
2015-10-26,3.252860,3.292140,3.213570,3.292140,1.442909,10564
2015-10-27,3.213570,3.221430,3.182140,3.182140,1.394697,12218
2015-10-28,3.158570,3.158570,3.158570,3.158570,1.384367,891
2015-10-29,3.213570,3.221430,3.017140,3.017140,1.322380,44927
2015-10-30,3.095710,3.095710,3.064290,3.064290,1.343045,5855
2015-11-03,3.025000,3.064290,3.025000,3.040710,1.332710,20745
2015-11-04,3.127140,3.127140,3.064290,3.064290,1.343045,7764
2015-11-05,3.072140,3.095710,3.032860,3.072140,1.346485,21636
2015-11-06,3.103570,3.142860,3.095710,3.103570,1.360261,50527
2015-11-09,3.103570,3.103570,3.103570,3.103570,1.360261,1782
2015-11-10,3.064290,3.142860,3.056430,3.142860,1.377481,43782
2015-11-11,3.142860,3.229290,3.142860,3.166430,1.387812,23927
2015-11-12,3.135000,3.174290,3.025000,3.080000,1.349930,277836
2015-11-13,3.064290,3.127140,3.025000,3.103570,1.360261,201855
2015-11-16,3.095710,3.095710,2.985710,3.072140,1.346485,251491
2015-11-17,3.025000,3.056430,3.001430,3.048570,1.336155,18836
2015-11-18,2.993570,3.095710,2.985710,3.095710,1.356816,56000
2015-11-19,3.064290,3.064290,2.946430,3.064290,1.343045,60709
2015-11-23,3.009290,3.064290,2.946430,3.001430,1.315494,203764
2015-11-24,2.993570,3.040710,2.970000,2.970000,1.301719,160236
2015-11-25,3.009290,3.032860,2.922860,2.977860,1.305164,80818
2015-11-26,3.025000,3.025000,3.001430,3.017140,1.322380,15273
2015-11-27,2.993570,3.040710,2.977860,3.040710,1.332710,37673
2015-11-30,2.993570,3.040710,2.985710,3.032860,1.329270,10691
2015-12-01,3.017140,3.032860,3.001430,3.001430,1.315494,8018
2015-12-02,3.040710,3.040710,2.930710,2.985710,1.308604,19982
2015-12-03,2.985710,3.017140,2.844290,2.977860,1.305164,43527
2015-12-04,2.930710,3.009290,2.930710,3.009290,1.318939,19218
2015-12-07,3.025000,3.032860,3.017140,3.025000,1.325824,6364
2015-12-08,3.032860,3.032860,3.001430,3.025000,1.325824,4327
2015-12-09,3.025000,3.025000,2.993570,3.025000,1.325824,15273
2015-12-10,3.017140,3.056430,3.017140,3.017140,1.322380,52309
2015-12-11,3.025000,3.056430,3.009290,3.056430,1.339600,33982
2015-12-14,3.025000,3.048570,3.025000,3.048570,1.336155,5727
2015-12-15,3.197860,3.339290,3.032860,3.142860,1.377481,332055
2015-12-16,3.213570,3.300000,3.182140,3.221430,1.411918,55491
2015-12-17,3.182140,3.245000,3.182140,3.245000,1.422248,23418
2015-12-18,3.221430,3.268570,3.166430,3.260710,1.429134,19091
2015-12-21,3.260710,3.276430,3.229290,3.276430,1.436023,25836
2015-12-22,3.237140,3.245000,3.221430,3.245000,1.422248,36655
2015-12-23,3.237140,3.268570,3.237140,3.260710,1.429134,12727
2015-12-28,3.260710,3.276430,3.197860,3.245000,1.422248,27873
2015-12-29,3.276430,3.331430,3.276430,3.331430,1.460129,154000
2015-12-30,3.323570,3.449290,3.323570,3.402140,1.491121,142545
2016-01-04,3.370710,3.496430,3.300000,3.457140,1.515227,304309
2016-01-05,3.425710,3.449290,3.425710,3.425710,1.501451,3309
2016-01-06,3.386430,3.417860,3.378570,3.402140,1.491121,11073
2016-01-07,3.417860,3.433570,3.339290,3.433570,1.504896,39836
2016-01-08,3.347140,3.417860,3.221430,3.221430,1.411918,36400
2016-01-11,3.378570,3.378570,3.197860,3.229290,1.415363,10691
2016-01-12,3.182140,3.284290,3.158570,3.260710,1.429134,18455
2016-01-13,3.205710,3.315710,3.205710,3.300000,1.446354,30164
2016-01-14,3.237140,3.370710,3.237140,3.237140,1.418803,97491
2016-01-15,3.260710,3.315710,3.158570,3.315710,1.453239,6109
2016-01-18,3.229290,3.300000,3.142860,3.292140,1.442909,31691
2016-01-19,3.221430,3.292140,3.190000,3.190000,1.398142,70000
2016-01-20,3.197860,3.268570,3.174290,3.268570,1.432579,70891
2016-01-21,3.276430,3.300000,3.252860,3.292140,1.442909,5218
2016-01-22,3.229290,3.300000,3.190000,3.190000,1.398142,18709
